ref_sentence	hypo_sentence	probability_ref	probability_hypo	scaled_probability_hypo	cosine_similarity
his abode which he had fixed at a bowery or country seat at a short distance from the city just at what is now called dutch street soon abounded with proofs of his ingenuity patent smoke jacks that required a horse to work them dutch ovens that roasted meat without fire carts that went before the horses weathercocks that turned against the wind and other wrong headed contrivances that astonished and confounded all beholders	his abode which he had fixed in a bowery or country seat at a short distance from the city just at what is now called dutch street soon abounded with proofs of his ingenuity patent smoke jacks that were carved a horse to work them	0.65	0.3	0.4615384615384615	0.9502627672938805
between baring island and beecher point there are a considerable quantity of islands in the midst of ice fields the streams crowd together in the little channels which cut up this part of the sea they had a tendency to agglomerate under the relatively low temperature hummocks were formed here and there and these masses already more compact denser and closer together would soon form an impenetrable mass	between bearing island and beecher point there are considerable quantity of islands in the midst of ice fields the streams crowd together in the little channels which cut up this part of the sea they had attended sea to a glamorate under the relatively low temperature and these passers	0.45	0.15	0.3333333333333333	0.9026781283523095
the romans by this means erected their colonies for perceiving their city to grow immeasurably populous they eased it of the most unnecessary people and sent them to inhabit and cultivate the lands conquered by them sometimes also they purposely maintained wars with some of their enemies not only to keep their own men in action for fear lest idleness the mother of corruption should bring upon them some worse inconvenience	the romans by this means erected their colonies for perceiving their city to grow immeasurably populous they eased it of the most unnecessary people and sent them to unhabitant and cultivate the lands conquered by them sometimes also they purposely maintain wars with some of their enemies	0.65	0.45	0.6923076923076923	0.9646968213895342
proof conceive if it be possible supposing the proposition to be denied that something in some attribute of god can follow from the absolute nature of the said attribute and that at the same time it is finite and has a conditioned existence or duration for instance the idea of god expressed in the attribute thought	proof conceive if it be possible supposing the proposition to be denied that something in some attribute of god can follow from the absolute nature of these said attribute and that at the same time it is finely absolute nature of these said attributes and that at the same time it is finely absolute nature of these said attributes and that at the same time it is follow from the absolute nature of these said attribute	0.35	0.2	0.5714285714285715	0.9328448302187522
when the lofty thucydides is about to enter upon his description of the plague that desolated athens one of his modern commentators assures the reader that the history is now going to be exceedingly solemn serious and pathetic and hints with that air of chuckling gratulation with which a good dame draws forth a choice morsel from a cupboard to regale a favorite that this plague will give his history a most agreeable variety	when the lofty through cities is about to enter upon his description of the plague that desolated assums one of his modern commentators assures the reader that the history is now going to be exceedingly solemn serious and pathetic and hints with that air of chuckling gretchelation with which a good day and draws his history	0.75	0.15	0.19999999999999998	0.8281856318247377
when i reached home niccolo da monte aguto came to visit me and told me that i had escaped one of the most dreadful perils in the world quite contrary to all his expectations for he had seen my ruin written with indelible ink now i must make haste to get well and afterwards take french leave because my jeopardy came from a quarter and a man who was able to destroy me	when i reached home niccolo dumont de aguato came to visit me and told me that i had escaped one of the most dreadful perils in the world quite contrary to all his expectations for he had seen my ruin written with incorrectory to all his expectations for he had seen my ruin written with inctroprimy to all his exe to get well	0.2	0.1	0.5	0.8526138066420319
and beyond the limits of the duration of the idea of god supposing the latter at some time not to have existed or not to be going to exist thought would perforce have existed without the idea of god which is contrary to our hypothesis for we supposed that thought being given the idea of god necessarily flowed therefrom	and beyond the limits of the duration of the idea of god supposing the latter at some time not to have existed for not to be going to exist thought would perforce have existed without the idea of god	0.2	0.2	1.0	0.9299401884609707
nature discovers this confusion to us painters hold that the same motions and grimaces of the face that serve for weeping serve for laughter too and indeed before the one or the other be finished do but observe the painter's manner of handling and you will be in doubt to which of the two the design tends and the extreme of laughter does at last bring tears	nature discovers this confusion to us painters hold that the same motions and grimaces of the face that serve for weeping serve for laughter too and indeed before the one or the other be finished do but observe the painters manner of handling and you will be in doubt to which the one are the other be finished do but observe the painters manner of handling and you will be endowed to which of handling and you will be endowed to which of the one or the other be finished	0.7	0.2	0.28571428571428575	0.9405902739780254
it was a night when sorrow may come to the brightest without causing any great sense of incongruity when with impressible persons love becomes solicitousness hope sinks to misgiving and faith to hope when the exercise of memory does not stir feelings of regret at opportunities for ambition that have been passed by and anticipation does not prompt to enterprise	it was a night when sorrow may come to the brightest without causing any great sense of incongruity when with impressible persons love becomes solicitousness hope since to misgiving and faith to hope and to hope	0.25	0.2	0.8	0.9029493834564758
on two opposite pages of the idiot one finds the following characters brought in by name general epanchin prince s adelaida ivanovna lizaveta prokofyevna yevgeny pavlovitch radomsky princess byelokonsky aglaia prince myshkin kolya ivolgin ippolit varya ferdyshchenko nastasya filippovna nina alexandrovna ganya ptitsyn and general ivolgin	on two opposite pages of the idiot one finds the following character's boarding by name general approaching prince s at a later evenovna lisoveta procofiagnos yet danny pavlovitch redonski princess paraquinsky a glare prince michigan	0.95	0.1	0.10526315789473685	0.745889197790948
we have now granted therefore thought not constituting the idea of god and accordingly the idea of god does not naturally follow from its nature in so far as it is absolute thought for it is conceived as constituting and also as not constituting the idea of god which is against our hypothesis	we have now granted therefore thought not constituting the idea of god and accordingly the idea of god does not naturally follow from its nature in so far as it is absolutely thought for it is conceived as	0.25	0.15	0.6	0.9432357073631936
to speak the truth he had wantonly involved himself in a multitude of small book debts of this stamp which notwithstanding eugenius's frequent advice he too much disregarded thinking that as not one of them was contracted thro any malignancy but on the contrary from an honesty of mind and a mere jocundity of humour they would all of them be cross'd out in course	to speak the truth he had ultimately involved himself in a multitude of small book debts of this damned which not were standing a genius as frequented vice he too much disregarded thinking that as not one of them was contracted through any malignancy but on the contrary from an almost singularity thinking that as not one of them was contracted through any malignity but on the contrary	0.25	0.15	0.6	0.8240642882232303
and therefore common and less speculative souls are found to be more proper for and more successful in the management of affairs and the elevated and exquisite opinions of philosophy unfit for business this sharp vivacity of soul and the supple and restless volubility attending it disturb our negotiations	and therefore common and less speculative souls are found to be more proper for and more successful in the management of affairs disturbed the elevated and exquisite opinions of philosophy unfit for business and the elevated and exquisite opinions of philosophy unfit for business and the elevated and exquisite opinions of philosophy unfit for business	0.25	0.25	1.0	0.8952649462914488
penelope was surprised as much as the tender sisterly heart could wish when doris flashed out upon her triumphantly on the evening of the party with the black skirt nicely pressed and re hung and the prettiest waist imaginable a waist that was a positive creation of dainty rose besprinkled silk with a girdle and knots of black velvet	then and i'll be was surprised as much as the dagger she's thoroughly heart cooled we should have when dora's flashed out up on her to whom fondly and the evening on the barter we'd the black skirt nicely brass and rehungled suit and the pregist was the matching of it a waistcoat nicely brass and rehungled suit	0.7	0.05	0.07142857142857144	0.5887835608400253
one hears now of the chauston the halstead place very noted indeed the hulton the leigh park the stoke place the edinburgh the surbiton the trinity foot the wooddale missus g w hilliard's missus price's and missus turner's	one hears now of the chaston they housed at place very noted indeed the haltin the lean park the stoke place the edinburgh the third day is serbitant	0.15	0.1	0.6666666666666667	0.7322978305819909
ancient traditions speak much of his learning and of the gallant inroads he had made into the dead languages in which he had made captive a host of greek nouns and latin verbs and brought off rich booty in ancient saws and apophthegms which he was wont to parade in his public harangues as a triumphant general of yore his spolia opima	ancient traditions speak much of his learning and of the gallant inroads he had made into the dead languages and which he had made captive a host of greek nomes and latin verbs and brought off rich booty in ancient souls and aposagems	0.65	0.3	0.4615384615384615	0.9173771405424858
a few years ago a scare arose in connection with an insect which was said to have taken up its abode in imported german glass bangles which compete with the indigenous industry of the gazula bangle makers the insect was reported to lie low in the bangle till it was purchased when it would come out and nip the wearer after warning her to get her affairs in order before succumbing	la few years ago a scared utterless inconnection with an insect which was said to have taken up its outward and importer german flask angles which complete foot being natureous in dusty earth the gauze and a band of makers the insect was to porter to lie low on the banker's dilabos	0.35	0.05	0.14285714285714288	0.6273923428726322
and again when the artist following malicorne's advice was a little late in arriving and when saint aignan had been obliged to be absent for some time it was interesting to observe though no one witnessed them those moments of silence full of deep expression which united in one sigh two souls most disposed to understand each other and who by no means objected to the quiet meditation they enjoyed together	and again when the artist following melancore's advice was a little late in arriving and when saint agna had been obliged to be absent for some time it was interesting to observe them though known witness them those moments of silence full of deep expression which united in one side to sows most disposed to understand each other and who by no means objected to show as full of deep expression	0.45	0.15	0.3333333333333333	0.8352879336561699
on reaching the copse he dismounted led his horse in among the underwood hitched him by looping his bridle rein around the topmost twigs of an elastic bough then detaching a long rope of twisted horsehair from the horn of his saddle and inserting his arm into its coil he glided out to the edge of the island on that side that lay towards the hacienda	on reaching the corpse he dismounted let his horse in among the underwood hitched him by looping his bridle rein along the duckmost twigs of an elastic bowl then the dutch in a long rope of twisted horse hair from the horn of his saddle and inserting his arm into its coil	0.65	0.25	0.3846153846153846	0.7508816534868377
here was she disturbed and unhappy because her instinct had made anything but a refusal impossible while he not many minutes after he had met with a rejection of what ought to have been the deepest holiest proposal of his life could speak as if briefs success and all its superficial consequences of a good house clever and agreeable society were the sole avowed objects of his desires oh dear	hair was shaken to stabbed and unhappy because her instinct had made anything much a refusal impossible while he not many minutes after he had met with a rejection or what order of being the deepest holiness proposed it off his life could speak as if its beliefs success in all the superficial consequences of a good house never in a great house could speak as if its beliefs success and all day	0.25	0.05	0.2	0.7195751378571847
interest however still runs on in both cases the periodical or accidental payments of it just serving to keep the memory of the affair alive till at length in some evil hour pop comes the creditor upon each and by demanding principal upon the spot together with full interest to the very day makes them both feel the full extent of their obligations	interest however still runs on the buff cases superior toka or accidental payments of it just serving to keep the memory of the affair of her life till at length in some way evil hour papa comes a creditor upon each and by drummonding principle upon the spot to gather a school and dress to the very day becomes a creditor upon each	0.15	0.1	0.6666666666666667	0.8003313102830737
that broad shouldered buck with the great whiskers and the cleaned white kid gloves is mister phelim clancy of poldoodystown he calls himself mister de clancy he endeavours to disguise his native brogue with the richest superposition of english and if you play at billiards or ecarte with him the chances are that you will win the first game and he the seven or eight games ensuing	that broad shouldered book was a great whiskers and the clean twight kit glouce is mister stellum kansy of puldoty stone he calls himself mister de concy he then devils to disguise his native brooke was a richest superposition of english and a few play at bullyards with him did chances out that you were when the first gang	0.2	0.05	0.25	0.6062487082226867
restored to fame by rama's grace to empire o'er the vanar race from ceaseless dread and toil set free restored to ruma and to me by grief and care and exile tried new to the bliss so long denied like visvamitra once alas he marks not how the seasons pass	restored to fame by rahma's grace to empire over the bottom rays from caesar's dread and toil set free restored to roma and to me by grief and care and exiled tried kneel to dissilt	0.45	0.15	0.3333333333333333	0.6871081835616466
what has happened mister prince wadsworth asked for he could see that the man was greatly excited governor andros has come again gasped mister prince why should that alarm us the fellow though given to boasting is not dangerous or liable to put his threats into execution but he has grown dangerous declared mister prince the liberties of the colony are involved	what has happened mister prince was worth asked for he could see that the man was greatly excited governor andrews has come again gasped mister prince why should that alarm us the fellow though good into boasting is not dangerous or liable to put his threats into execution	0.65	0.15	0.23076923076923075	0.8409451698122895
not having the courage or the industry of our neighbor who works like a busy bee in the world of men and books searching with the sweat of his brow for the real bread of life wetting the open page before him with his tears pushing into the wee hours of the night his quest animated by the fairest of all loves the love of truth we ease our own indolent conscience by calling him names	not having the courage or the industry of our neighbour who works like a busy bee in the world of men and books searching with a sweat of his brow for the real bread of life wherein the open page or for him with his tears pushing to the wee hours of the night his quest and may it but a fairest of all loves the love of truth pushing to the wee hours of the night his quest	0.75	0.3	0.39999999999999997	0.915105985217406
a present of money to each workman is also in order and will conduce to the rapid and faithful execution of the job in hand when at last the house is finished and carpenters and plasterers are ready to leave it the local firemen who have assisted all along in the building as unskilled laborers often ascend to the roof and from the ridge pole cast down cakes for which the children of the neighborhood scramble joyfully	a present of money to each workman is also in order and will conduce to the rapid and faithful execution of the job at hand when at last the house is finished in carpenters and plasterers are ready to leave it the local firemen who have assisted all along in the building as unskiled laborers often as send to the roof and from the local firemen who have assisted all along in the building as uns	0.3	0.25	0.8333333333333334	0.9492339177485976
john lincoln wrote breezy accounts of ranch life and adventures on the far western plains so alien and remote from snug humdrum plainfield life that sidney always had the sensation of crossing a gulf when she opened a letter from the bar n as for sidney's own letter this is the way it read as she wrote it	john lincoln wrote breezy accounts of french life and the thagers on the far western plains so a year and a mould from snug humdrum bringing field life that seeing they always had the sensation off crossing the godflann she opened a life that seen they always had the sensation off crossing the godfwheren she opened a life that seen they always had the bar and as forcing the bar	0.25	0.05	0.2	0.7766521880314617
corollary hence it follows that god is not only the cause of things coming into existence but also of their continuing in existence that is in scholastic phraseology god is cause of the being of things essendi rerum	corollary hence it follows that god is not only the cause of things coming into existence but also of their continuing in existence that is insulastic phraseology god is cause of the being of things that is insulastic phraseology	0.65	0.25	0.3846153846153846	0.928514739459463
either we vividly put ourselves in the place of the sufferer by imagination or see in his fate the lot of humanity as a whole and consequently first of all our own lot and thus in a very roundabout way it is yet always about ourselves that we weep sympathy with ourselves which we feel this seems to be the principal reason of the universal and thus natural weeping in the case of death	either we vividly put ourselves in the place of the sufferer by imagination or see in his fate the lot of humanity as a whole and consequently first of all our own not and thus in a very roundabout way it is yet always about ourselves that we weep sympathy with ourselves which we feel this seems to be the principal reason of the universal and thus natural weeping in the case of death	0.65	0.65	1.0	0.9984709148414224
this idle charge has been echoed from one babbler to another who have confounded johnson's essays with johnson's dictionary and because he thought it right in a lexicon of our language to collect many words which had fallen into disuse but were supported by great authorities it has been imagined that all of these have been interwoven into his own compositions	this idle charge has been echoed from one babbler to another who have confounded johnson's essays with johnson's dictionary and because he thought it right in a luxicon of our language to collect many words which had fallen into disuse but were supported by great authorities it has been imagined that of all of these have been into his own compositions but were supported by great authorities	0.25	0.2	0.8	0.9730880215506834
to sigmund bergmann who had worked previously with edison on telephone apparatus and phonographs and was already making edison specialties in a small way in a loft on wooster street new york was assigned the task of constructing sockets fixtures meters safety fuses and numerous other details	to seek mind of bird men who had were privously with edison until if on the partisan phonographs and was already making edison special it is in the small way in the loft on loose durstrew street new york was a sign that has of constructing sockets fixtres eaters a most durstrew street new york was a sign that has of constructing sockets	0.75	0.05	0.06666666666666667	0.690295604542144
you did not come and marching time drew on and wore me numb yet less for loss of your dear presence there than that i thus found lacking in your make that high compassion which can overbear reluctance for pure loving kindness sake grieved i when as the hope hour stroked its sum you did not come	you did not come and much in time drew on and wore me no yet lost the most of your dear presence there then that i thus found lacking in your make that high compassion which can over there reluctence the poor loving kindness sank grieved i when as the her barrister did some you did no calm	0.3	0.05	0.16666666666666669	0.8018857264894537
he tarried at genishau a few days and came up to gardow where i then resided he was apparently without any business that would support him but he soon became acquainted with my son thomas with whom he hunted for a long time and made his home with him at my house winter came on and he continued his stay	he died in a geneshore a few days and came up the girdle where i then designed he was apparently without any business efforts aboard him but he soon became acquainted with my son domice with whom he hunted for a long time and made his home with him at my house randoc came on and he hunted for a long time and made his home with him at my house	0.3	0.05	0.16666666666666669	0.6206278894228437
still unsatisfied and doubting my veracity they advised my indian brother to use his influence to draw from me the secret of his concealment which they had an idea that i considered of great importance not only to him but to myself i persisted in my ignorance of his situation and finally they left me	still unsatisfied and darting my vivacity they advised my indian brother do you assist his influence to draw from me the secret of his concealment which they had an idea that i considered out of great importance nor only to him but to my says i blessed it in my ignorance of his situation and find a easy left me	0.3	0.1	0.33333333333333337	0.8802188297525025
niccolo da monte aguto to whom i had written wrote back saying that he had spoken to that mad melancholy philosopher lorenzino for it he had replied that he was thinking night and day of nothing else and that he would finish it as soon as he was able	niccolo dumont de goudo to whom i had returned wrote that saying that he had spoken to that mad melancholy philosopher lord siena for it he had replied that he was thinking night and day of nothing else and that he would finish it as soon as he was able	0.45	0.2	0.4444444444444445	0.780719857327264
