reference,hypothesis,wer,wacc,plausibility,norm_plausibility,hallucination_like,hallucination_wacc_threshold,hallucination_plausibility_threshold,2gram_reps,3gram_reps,4gram_reps,config,config_family,noise_pct,perturbation,perturb_family,perturb_amplitude,perturb_duration,perturb_label
she ll be all right,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
six,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
groves started writing songs when she was four years old,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
does the sensor still have the same deficits when it comes to interoperability with other vendors,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
the electrician looked puzzled,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
it is a member theater of the union of the theatres of europe,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
cristiano ronaldo has won twenty four trophies in his career,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
the song was produced by go grizz and smash david,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
he was the eldest brother of katharine duchess of kent,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
hello benjamin,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
this release is currently out of print,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
man in red tshirt and baseball cap viewed from above he is has a pile of posters,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
they were great monuments of an age,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
what did it mean,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
at the hospital i met a very nice nurse,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
he received his ph,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
in this phase the party was based in eastern norway,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
the cornices of the room were mostly intact but showed signs of damage from damp,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
karina smirnoff of dancing with the stars hosted the following month,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
in the united states federal vehicle fleets refers to the federal government s vehicles,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
the land was ruined and i had to find some other way to earn a living,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
i wondered if those birds were redwings,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
he ended up running to the bars which fortified the windows of the first floor,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
you should see the other guy specifically how good at fighting he is,you,0.9231,0.0769,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
lorenz is listed as a swiss heritage site of national significance,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
before entering politics karygiannis was a businessman and industrial engineer,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
at dusk the greek western flank was broken,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
the wind told me that you know about love the boy said to the sun,you,0.9333,0.0667,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
the collection of vehicles is listed below,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
he took the fourth part and handed it to the monk,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
cador is also said to be of roman stock,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
the owner of the dwelling was not amused,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
thai dancers happily going through their steps in unison,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
music is usually provided by michael martin murphey and his band,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
michael jackson began his career as part of the jackson five,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
more discussion is needed on how it will be financed,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
priestesses are said to have preceded priests in some egyptian cities,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
the boy was also saddened his friend was in pursuit of his destiny,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
men play football as a crowd watches,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
the election was notable for several firsts,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
a song a girl a maid,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
local branches throughout slovakia were primarily engaged in public education and cultural activities,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
its major industry has been slate mining,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
slipways and harbour improvements were also constructed,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
that application was rejected,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
we are giving them no rest,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
this argument is ancient and musty and in respects an economic fallacy,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
the village s topography is mostly flat,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
these original parts of the hospital are now administrative and social accommodation,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
the story takes the form of a monologue by asterion,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
close all windows and logout,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
no one has ever done it before,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
maybe the church with the sycamore growing from within had been haunted,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
the album was well received by several critics,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
there are three amino acid residues responsible for this g to m phase transition,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
i ll go right after it,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
the jowls of males are pink and the scales around the eyes are blue,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
an awesome picture of a young woman jumping in the air,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
some concurrent programming models include coprocesses and deterministic concurrency,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
five,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
unfortunately there s not enough of that to be found in this game,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
her mom took her to the judo class at four o clock,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
he grew up in cedarhurst new york,you,1.0,0.0,0.0,0.0,0,0.01,0.0,0,0,0,base,base,0,silence_amp0.0_dur0.0,silence,0.0,0.0,"silence
amp=0, dur=0"
