reference,hypothesis,wer,wacc,plausibility,norm_plausibility,hallucination_like,hallucination_wacc_threshold,hallucination_plausibility_threshold,2gram_reps,3gram_reps,4gram_reps,config,config_family,noise_pct,perturbation,perturb_family,perturb_amplitude,perturb_duration,perturb_label
she ll be all right,she ll be all right,0.0,1.0,0.0052,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
six,six,0.0,1.0,0.0,0.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
groves started writing songs when she was four years old,graff started writing songs when she was four years old,0.1,0.9,0.0164,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
does the sensor still have the same deficits when it comes to interoperability with other vendors,does the sensor still have the same defects when it comes to interoperability with other vendors,0.0625,0.9375,0.018,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
the electrician looked puzzled,the depression loop puzzle,0.75,0.25,0.0,0.0279,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
it is a member theater of the union of the theatres of europe,it is a member theatre of the union of the theatres of europe,0.0769,0.9231,0.0139,1.0,0,0.875,0.8782,1,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
cristiano ronaldo has won twenty four trophies in his career,its career underground has been bounded to twenty four to twenty five years ago,1.1,-0.1,0.0038,0.6485,0,0.875,0.8782,1,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
the song was produced by go grizz and smash david,the song was produced by go grizz and smash david,0.0,1.0,0.0002,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
he was the eldest brother of katharine duchess of kent,he was the eldest brother of catherine duchess of kent,0.1,0.9,0.0085,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
hello benjamin,hello benjamin,0.0,1.0,0.0006,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
this release is currently out of print,this release is currently out of print,0.0,1.0,0.0161,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
man in red tshirt and baseball cap viewed from above he is has a pile of posters,man in red tshirt and baseball cap viewed from above he has a pile of posture,0.1176,0.8824,0.0057,0.9304,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
they were great monuments of an age,they were great monuments of an age,0.0,1.0,0.0038,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
