analysis_id	detail_file	detail_row	eval_config	perturbation	reference	hypothesis	wer	wacc	norm_plausibility	hallucination_like	2gram_reps	3gram_reps	4gram_reps	reference_norm	hypothesis_norm
0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	1	base	full_noise_amp0.5_dur0.0	she ll be all right	the city is located in the southern part of the city of korea	2.6	-1.6	1.0	1	1	0	0	she ll be all right	the city is located in the southern part of the city of korea
1	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	2	base	full_noise_amp0.5_dur0.0	six	the city is also home to the city of canada	10.0	-9.0	0.0	0	1	0	0	six	the city is also home to the city of canada
2	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	3	base	full_noise_amp0.5_dur0.0	it is a busy market town that serves a large surrounding area	it is the first and largest and most large and largest train	0.8333	0.1667	1.0	0	1	0	0	it is a busy market town that serves a large surrounding area	it is the first and largest and most large and largest train
3	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	4	base	full_noise_amp0.5_dur0.0	for a discussion see mass in general relativity	the city is located in the southern part of the city of korea	1.625	-0.625	1.0	0	1	0	0	for a discussion see mass in general relativity	the city is located in the southern part of the city of korea
4	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	5	base	full_noise_amp0.5_dur0.0	the cadets attack the office and the rebellion is ended	the city is located in the southern part of the city of korea	1.0	0.0	1.0	0	1	0	0	the cadets attack the office and the rebellion is ended	the city is located in the southern part of the city of korea
5	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	7	base	full_noise_amp0.5_dur0.0	do you mean it	the city is located in the southern part of the city of korea	3.25	-2.25	1.0	1	1	0	0	do you mean it	the city is located in the southern part of the city of korea
6	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	8	base	full_noise_amp0.5_dur0.0	how is mozilla going to handle ambiguities like queue and cue	he is the only one who has ever been in a situation like this	1.1818	-0.1818	1.0	0	0	0	0	how is mozilla going to handle ambiguities like queue and cue	he is the only one who has ever been in a situation like this
7	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	9	base	full_noise_amp0.5_dur0.0	manager dave ross brought in kris taylor to form a management team	the city is known for its high quality and high quality food and beverage services	1.25	-0.25	1.0	0	1	0	0	manager dave ross brought in kris taylor to form a management team	the city is known for its high quality and high quality food and beverage services
8	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	10	base	full_noise_amp0.5_dur0.0	i guess you must think i m kinda batty	the city is located in the southern part of the city of korea	1.4444	-0.4444	1.0	0	1	0	0	i guess you must think i m kinda batty	the city is located in the southern part of the city of korea
9	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	11	base	full_noise_amp0.5_dur0.0	groves started writing songs when she was four years old	well it s a perfect way to start a new life when you are a parent	1.6	-0.6	1.0	0	0	0	0	groves started writing songs when she was four years old	well it s a perfect way to start a new life when you are a parent
10	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	12	base	full_noise_amp0.5_dur0.0	my mother has type two diabetes	their first appearance was in the movie the big bang	1.6667	-0.6667	1.0	0	0	0	0	my mother has type two diabetes	their first appearance was in the movie the big bang
11	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	13	base	full_noise_amp0.5_dur0.0	it was always so	what called it the state	1.25	-0.25	0.4842	0	0	0	0	it was always so	what called it the state
12	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	14	base	full_noise_amp0.5_dur0.0	she has shown fine bindings in exhibitions throughout her career	the city is located in the southern part of the city of korea	1.3	-0.3	1.0	0	1	0	0	she has shown fine bindings in exhibitions throughout her career	the city is located in the southern part of the city of korea
13	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	15	base	full_noise_amp0.5_dur0.0	the sacramento valley rail station is just a short walk away	the city is located in the southern part of the city of korea	1.0909	-0.0909	1.0	0	1	0	0	the sacramento valley rail station is just a short walk away	the city is located in the southern part of the city of korea
14	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	19	base	full_noise_amp0.5_dur0.0	the drinking water supply comes from an intake pipe southwest of town	the city is located in the central part of the city center	0.9167	0.0833	1.0	0	1	0	0	the drinking water supply comes from an intake pipe southwest of town	the city is located in the central part of the city center
15	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	20	base	full_noise_amp0.5_dur0.0	does the sensor still have the same deficits when it comes to interoperability with other vendors	the city is located in the southern part of the city of korea	0.9375	0.0625	1.0	0	1	0	0	does the sensor still have the same deficits when it comes to interoperability with other vendors	the city is located in the southern part of the city of korea
16	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	21	base	full_noise_amp0.5_dur0.0	it might be in this writer s top ten	their first two fights were in the middle of the night	1.1111	-0.1111	1.0	0	0	0	0	it might be in this writer s top ten	their first two fights were in the middle of the night
17	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	22	base	full_noise_amp0.5_dur0.0	mrs lewis was selected as the new commissioner	the city is located in the southern part of the city of korea	1.5	-0.5	1.0	0	1	0	0	mrs lewis was selected as the new commissioner	the city is located in the southern part of the city of korea
18	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	23	base	full_noise_amp0.5_dur0.0	his family didn t even have money to perform the last rites after his death	the city is located in the central part of the city center of the city center	1.0	0.0	1.0	0	3	2	1	his family didn t even have money to perform the last rites after his death	the city is located in the central part of the city center of the city center
19	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	24	base	full_noise_amp0.5_dur0.0	the electrician looked puzzled	the city is located in the southern part of the city of korea	3.0	-2.0	1.0	1	1	0	0	the electrician looked puzzled	the city is located in the southern part of the city of korea
20	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	25	base	full_noise_amp0.5_dur0.0	i will tell her what we decided	the city is located in the central part of the city center of the city center	2.2857	-1.2857	1.0	1	3	2	1	i will tell her what we decided	the city is located in the central part of the city center of the city center
21	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	26	base	full_noise_amp0.5_dur0.0	enoxaparin belongs to the class of drugs known as low molecular weight heparins	the first time i saw him i was like oh my god what the hell is this	1.3077	-0.3077	1.0	0	0	0	0	enoxaparin belongs to the class of drugs known as low molecular weight heparins	the first time i saw him i was like oh my god what the hell is this
22	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	27	base	full_noise_amp0.5_dur0.0	i guess it s a never ending story	the city is located in the southern part of the city of korea	1.625	-0.625	1.0	0	1	0	0	i guess it s a never ending story	the city is located in the southern part of the city of korea
23	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	28	base	full_noise_amp0.5_dur0.0	good things come in small packages	the city is located in the southern part of the city of korea	2.0	-1.0	1.0	0	1	0	0	good things come in small packages	the city is located in the southern part of the city of korea
24	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	29	base	full_noise_amp0.5_dur0.0	what should i say	the city is located in the southern part of the city of korea	3.25	-2.25	1.0	1	1	0	0	what should i say	the city is located in the southern part of the city of korea
