ref_sentence	hypo_sentence	probability_ref	probability_hypo	scaled_probability_hypo	cosine_similarity
his abode which he had fixed at a bowery or country seat at a short distance from the city just at what is now called dutch street soon abounded with proofs of his ingenuity patent smoke jacks that required a horse to work them dutch ovens that roasted meat without fire carts that went before the horses weathercocks that turned against the wind and other wrong headed contrivances that astonished and confounded all beholders	his abode which he had fixed in a bowery or country seat at a short distance from the city just at what is now called dutch street soon abounded with proofs of his ingenuity patent smoke jacks that required a horse to work them dutch ovens that roasted meat without fire	0.65	0.65	1.0	0.9723955962906121
between baring island and beecher point there are a considerable quantity of islands in the midst of ice fields the streams crowd together in the little channels which cut up this part of the sea they had a tendency to agglomerate under the relatively low temperature hummocks were formed here and there and these masses already more compact denser and closer together would soon form an impenetrable mass	and impenetrable mass and beecher point there are considerable quantity of islands in the midst of ice fields the streams crowd together in the little channels which cut up this part of the sea they had a tendency to agglomerate under the relatively low temperature humphx or formed here and there and these masses already more compacts were formed here and there and these masses	0.45	0.15	0.3333333333333333	0.8912472541295177
the romans by this means erected their colonies for perceiving their city to grow immeasurably populous they eased it of the most unnecessary people and sent them to inhabit and cultivate the lands conquered by them sometimes also they purposely maintained wars with some of their enemies not only to keep their own men in action for fear lest idleness the mother of corruption should bring upon them some worse inconvenience	the romans by this means erected their colonies for perceiving their city to grow immeasurably populous they eased it of the most unnecessary people and sent them to inhabit and cultivate the lands conquered by them sometimes also they purposely maintain wars with some of their enemies not only to keep their own men in action for fear of their enemies not only to keep their own men in action for fear lest some of their enemies not only to keep their own manufacture	0.6	0.45	0.75	0.9650399506665571
proof conceive if it be possible supposing the proposition to be denied that something in some attribute of god can follow from the absolute nature of the said attribute and that at the same time it is finite and has a conditioned existence or duration for instance the idea of god expressed in the attribute thought	of god conceive if it be possible supposing the proposition to be denied that something in some attribute of god can follow from the absolute nature of these said attribute	0.3	0.25	0.8333333333333334	0.9004402393793479
when the lofty thucydides is about to enter upon his description of the plague that desolated athens one of his modern commentators assures the reader that the history is now going to be exceedingly solemn serious and pathetic and hints with that air of chuckling gratulation with which a good dame draws forth a choice morsel from a cupboard to regale a favorite that this plague will give his history a most agreeable variety	when the lofty thucidities is about to enter upon his description of the plague that desolated athens one of his modern commentators assures the reader that the history is now going to be exceedingly solemn serious and pathetic and hints with that air of chuckling gratulation with which a good dame draws forth a choice morsel with which a good dame draws forth a good dame draws forth a choice mortal	0.75	0.1	0.13333333333333333	0.9334925793973538
when i reached home niccolo da monte aguto came to visit me and told me that i had escaped one of the most dreadful perils in the world quite contrary to all his expectations for he had seen my ruin written with indelible ink now i must make haste to get well and afterwards take french leave because my jeopardy came from a quarter and a man who was able to destroy me	when i reached home nikolay de monte cristo came to visit me and told me that i had escaped one of the most dreadful perils in the world quite contrary to all his expectations for he had seen my ruin written with indelible inks now i must make haste to get well and get well and after his thanks	0.15	0.1	0.6666666666666667	0.8014903563786687
and beyond the limits of the duration of the idea of god supposing the latter at some time not to have existed or not to be going to exist thought would perforce have existed without the idea of god which is contrary to our hypothesis for we supposed that thought being given the idea of god necessarily flowed therefrom	and beyond the limits of the duration of the idea of god supposing the latter at some time not to have existed for not to be going to exist thought would perforce have existed without the idea of god which is contrary to our hypothesis	0.25	0.1	0.4	0.9591627799405247
nature discovers this confusion to us painters hold that the same motions and grimaces of the face that serve for weeping serve for laughter too and indeed before the one or the other be finished do but observe the painter's manner of handling and you will be in doubt to which of the two the design tends and the extreme of laughter does at last bring tears	does it last nature discover this confusion to us painters hold that the same motions and grimaces of the face that serve for weeping serve for laughter too and indeed before the one or the other be finished do but observe the painter's manner of handling and you will be in doubt to which of the two the design tens and the extreme of last to bring tens and the extreme of last to which of last to which of the tune of last	0.65	0.15	0.23076923076923075	0.8561968749872295
it was a night when sorrow may come to the brightest without causing any great sense of incongruity when with impressible persons love becomes solicitousness hope sinks to misgiving and faith to hope when the exercise of memory does not stir feelings of regret at opportunities for ambition that have been passed by and anticipation does not prompt to enterprise	it was a night when sorrow may come to the brightest without causing any great sense of incongruity when with impressible persons love becomes solicitousness hope sinks to misgiving and faith to hope when the exercise of memory does not stir feedings of regret and opportunities for ambition that have been passed by does not stir feedings of regret and dissipation that of regret and dissipation that have been passed by	0.45	0.15	0.3333333333333333	0.9560565346213531
on two opposite pages of the idiot one finds the following characters brought in by name general epanchin prince s adelaida ivanovna lizaveta prokofyevna yevgeny pavlovitch radomsky princess byelokonsky aglaia prince myshkin kolya ivolgin ippolit varya ferdyshchenko nastasya filippovna nina alexandrovna ganya ptitsyn and general ivolgin	on two opposite pages of the idiot one finds the following fact is brought in by name general apache prince s at a later evenovna lizaveta procopheatnell eugenio prince michigan coyotrovna eupulit rajania eugenia eugenia eugenia eugenia presischincciphurgischinchinchinchinchinchinchinchincre the star sipherovna euphogen euphogonia verdovna euphogenia euphogenia euphogenia euphogenia euphogenia euphogenia euphogenia euphogenia euphogenia euphogenia euphogenia euphogenia euphogania euchonia verdus pharchonia	0.9	0.05	0.05555555555555556	0.6639932715624929
we have now granted therefore thought not constituting the idea of god and accordingly the idea of god does not naturally follow from its nature in so far as it is absolute thought for it is conceived as constituting and also as not constituting the idea of god which is against our hypothesis	we have now granted therefore thought not constituting the idea of god and accordingly the idea of god does not naturally follow from its nature in so far as it is absolute thought for it is conceived as constituting and also as not constituting and also as not constituting the idea of god	0.15	0.15	1.0	0.9656585123757058
to speak the truth he had wantonly involved himself in a multitude of small book debts of this stamp which notwithstanding eugenius's frequent advice he too much disregarded thinking that as not one of them was contracted thro any malignancy but on the contrary from an honesty of mind and a mere jocundity of humour they would all of them be cross'd out in course	to speak the truth he had wantonly involved himself in a multitude of small book debts of this damned which notwithstanding eugenius's frequent advice he too much disregarded thinking that as not one of them was contracted through any maligncy but on the contrary from an honesty of mind to any maligncy but on the contrary from an honesty of mind to any military	0.25	0.15	0.6	0.9156863608546021
and therefore common and less speculative souls are found to be more proper for and more successful in the management of affairs and the elevated and exquisite opinions of philosophy unfit for business this sharp vivacity of soul and the supple and restless volubility attending it disturb our negotiations	and therefore common and less speculative souls are found to be more proper for and more successful in the management of affairs and the elevated and exquisite opinions of philosophy unfit for business this short vivacity of soul and the supple in restless volubility of soul and the supple in restless volubility of soul and the supple in restless volubility attending it dissciations	0.25	0.1	0.4	0.944719770769146
penelope was surprised as much as the tender sisterly heart could wish when doris flashed out upon her triumphantly on the evening of the party with the black skirt nicely pressed and re hung and the prettiest waist imaginable a waist that was a positive creation of dainty rose besprinkled silk with a girdle and knots of black velvet	then it'll be wiser prize as much as the dander see sternly hurt could we shoot where dora's flashed out up on her too fondly and the evening on the barkie we'd the black skirt nicely brass and re hung and the prettiest was the match in it a waste that was a positive creature	0.75	0.05	0.06666666666666667	0.5143084321816673
one hears now of the chauston the halstead place very noted indeed the hulton the leigh park the stoke place the edinburgh the surbiton the trinity foot the wooddale missus g w hilliard's missus price's and missus turner's	one hears now of the chowston the house did place very noted indeed the halter the lee park the stoke place the edinberg the serbetton the trinity foot missus price's and missus woggley hillyard's missus turner's missus turner's missus kebby a hillyard's missus price's and missus turnerts and missus turner's and missus turnerts and missus kebby a hillyard's and missus turner's and missus turnerts and missus turner's and missus turnerts and missus turner's and missus turnerts and missus turner's and missus turner's and missus turner's and missus turner's and missus turner's and missus turner's and missus turner's and missus turner's and missus turner's and missus	0.1	0.05	0.5	0.8116477987784094
