ref_sentence	hypo_sentence	probability_ref	probability_hypo	scaled_probability_hypo	cosine_similarity
yesterday you were trembling for a health that is dear to you to day you fear for your own to morrow it will be anxiety about money the day after to morrow the diatribe of a slanderer the day after that the misfortune of some friend then the prevailing weather then something that has been broken or lost then a pleasure with which your conscience and your vertebral column reproach you again the course of public affairs	yesterday we're trembling for a health that is dear to you to day you fear for your own to morrow it will be anxiety about money the day after to morrow the dietrib of a slander the day after that the misfortune of some friend then the prevailing whether the day after that the misfortune of some friend	0.65	0.15	0.23076923076923075	0.8853555895829152
as she awaited her guests she surveyed the table with both satisfaction and disquietude for her social functions were few tonight there were she checked them off on her fingers sir james creighton the rich english manufacturer and lady creighton mister and missus vanderpool mister harry cresswell and his sister john taylor and his sister and mister charles smith whom the evening papers mentioned as likely to be united states senator from new jersey a selection of guests that had been determined unknown to the hostess by the meeting of cotton interests earlier in the day	as she awaited her guest she surveyed the table with both satisfaction and as quietude for her social functions were few to night there were she checked them off on her fingers sir james crieden the rich english manufactor and lady cried in mister charles smith	0.65	0.25	0.3846153846153846	0.7833600297779565
as the chaise drives away mary stands bewildered and perplexed on the door step her mind in a tumult of excitement in which hatred of the doctor distrust and suspicion of her mother disappointment vexation and ill humor surge and swell among those delicate organizations on which the structure and development of the soul so closely depend doing perhaps an irreparable injury	as the chase drives away mary stands bewildered and perplexed on the doorstep her mind in a tumult of excitement in which hatred of the doctor distrust and suspicion of her mother disappointment vexations and ill humour sirge and suspicion of her mother disappointment vexations	0.75	0.65	0.8666666666666667	0.8526427076783346
the lilly of the valley breathing in the humble grass answerd the lovely maid and said i am a watry weed and i am very small and love to dwell in lowly vales so weak the gilded butterfly scarce perches on my head yet i am visited from heaven and he that smiles on all walks in the valley and each morn over me spreads his hand saying rejoice thou humble grass thou new born lily flower	the lily of the valley breathing in the humble grass answered the love we made and said i am a watery weed and i am very small and left to dwell in lowly veils so weak the gilded butterfly scarce perches on my head yet i am visited from heaven and he that smiles on all	0.3	0.3	1.0	0.9087064673010407
but there is always a stronger sense of life when the sun is brilliant after rain and now he is pouring down his beams and making sparkles among the wet straw and lighting up every patch of vivid green moss on the red tiles of the cow shed and turning even the muddy water that is hurrying along the channel to the drain into a mirror for the yellow billed ducks who are seizing the opportunity of getting a drink with as much body in it as possible	but there is always a stronger sense of life when the sun is brilliant after rain and now he is pouring down his beams and making sparkles among the wet straw and lighting up every patch of vivid green moss on the red tiles of the cow shed	0.75	0.75	1.0	0.8984655382403125
to keep afloat and to rescue from oblivion to hold above the gulf were it but a fragment of some language which man has spoken and which would otherwise be lost that is to say one of the elements good or bad of which civilization is composed or by which it is complicated to extend the records of social observation is to serve civilization itself	to keep a float and to rescue from oblivion to hold above the gulf where it but a fragment of some language which men has spoken and which would otherwise be lost that is to say one of the elements good or bad of which civilization is composed or by which it is complicated or by which it is complicated or by which it is complicated	0.45	0.25	0.5555555555555556	0.8454735837450895
this happened every year and the young fir tree that had now grown to a very comely size trembled at the sight for the magnificent great trees fell to the earth with noise and cracking the branches were lopped off and the trees looked long and bare they were hardly to be recognised and then they were laid in carts and the horses dragged them out of the wood	this happened every year and the young fir tree that had now grown to a very comely sized trembled at the sight for the magnificent great trees fell to the earth with noise and cracking the branches were locked off and the trees looked long and bare	0.75	0.45	0.6	0.9256261585345464
hetty sorrel often took the opportunity when her aunt's back was turned of looking at the pleasing reflection of herself in those polished surfaces for the oak table was usually turned up like a screen and was more for ornament than for use and she could see herself sometimes in the great round pewter dishes that were ranged on the shelves above the long deal dinner table or in the hobs of the grate which always shone like jasper	hetty's sorrow often took the opportunity when her aunt's back was turned of looking at the pleasing reflection of herself in those polished services for the oak table was usually turned up like a screen and was more for ornament than for use and she could see herself sometimes in the great round peter dishes that were arranged than for use	0.7	0.3	0.4285714285714286	0.8835926324649124
but reckoning time whose million'd accidents creep in twixt vows and change decrees of kings tan sacred beauty blunt the sharp'st intents divert strong minds to the course of altering things alas why fearing of time's tyranny might i not then say now i love you best when i was certain o'er incertainty crowning the present doubting of the rest	but reckoning time whose million accidents creep in twixt vows and change to creates of kings ten sacred beauty blunt the sharpest intense divert strong minds to the course of altering things alas why fearing of time's tyranny might i not then say now i love you best	0.45	0.2	0.4444444444444445	0.9544581233467008
law seemed to him well enough as a science but he never could discover a practical case where it appeared to him worth while to go to law and all the clients who stopped with this new clerk in the ante room of the law office where he was writing philip invariably advised to settle no matter how but settle greatly to the disgust of his employer who knew that justice between man and man could only be attained by the recognized processes with the attendant fees	wallace seemed to him well enough as a science but he never could discover a practical case where it appeared to him worth while to go to law and all the clients who stopped with this new clerk in the anti room of the wall office for he was writing they looked invariably advised to settle no matter how but settled greatly to the disgust if his employer	0.75	0.2	0.26666666666666666	0.7471090403830402
