reference	hypothesis	wer	wacc	plausibility	norm_plausibility	hallucination_like	hallucination_wacc_threshold	hallucination_plausibility_threshold	2gram_reps	3gram_reps	4gram_reps	detail_file	eval_config	perturbation	detail_row	reference_norm	hypothesis_norm	analysis_id	rank	best_train_corpus	best_train_source	best_tfidf_similarity	best_similarity_class	best_token_jaccard	best_hypothesis_token_coverage	best_train_row	best_train_path	best_train_sentence_id	best_train_text
she ll be all right	the city is located in the southern part of the city of korea	2.6	-1.6	0.0414	1.0	1	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	1	she ll be all right	the city is located in the southern part of the city of korea	0	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
six	the city is also home to the city of canada	10.0	-9.0	0.021	0.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	2	six	the city is also home to the city of canada	1	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.698729974174843	strong_overlap	0.46153846153846156	0.75	97126	common_voice_en_20883336.mp3	44ad010d8fffa50cf6aa1b8dc7ea47d40eaf1a6d8005dd2ea06a676c07258ad2	The city is also home to Wayland Academy, a private school.
it is a busy market town that serves a large surrounding area	it is the first and largest and most large and largest train	0.8333	0.1667	0.0125	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	3	it is a busy market town that serves a large surrounding area	it is the first and largest and most large and largest train	2	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.40658015688512306	novel_or_generic	0.35714285714285715	0.5555555555555556	79454	common_voice_en_27249364.mp3	a65a4c322ab9032a887b237502bab1c06a088e424c1c815b7170a0e47b890ad3	It is Rhode Island's largest and most-visited cultural organization.
for a discussion see mass in general relativity	the city is located in the southern part of the city of korea	1.625	-0.625	0.0414	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	4	for a discussion see mass in general relativity	the city is located in the southern part of the city of korea	3	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
the cadets attack the office and the rebellion is ended	the city is located in the southern part of the city of korea	1.0	0.0	0.0414	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	5	the cadets attack the office and the rebellion is ended	the city is located in the southern part of the city of korea	4	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
do you mean it	the city is located in the southern part of the city of korea	3.25	-2.25	0.0414	1.0	1	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	7	do you mean it	the city is located in the southern part of the city of korea	5	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
how is mozilla going to handle ambiguities like queue and cue	he is the only one who has ever been in a situation like this	1.1818	-0.1818	0.1006	1.0	0	-1.1674	0.919	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	8	how is mozilla going to handle ambiguities like queue and cue	he is the only one who has ever been in a situation like this	6	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.42623590920770404	novel_or_generic	0.2631578947368421	0.35714285714285715	85103	common_voice_en_27628422.mp3	b0741f2ad1b66c69958a5cf7e0c8b48ca2d2edc18750456d8329b128b3007607	A man doesn't get in a situation like this every day.
manager dave ross brought in kris taylor to form a management team	the city is known for its high quality and high quality food and beverage services	1.25	-0.25	0.0409	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	9	manager dave ross brought in kris taylor to form a management team	the city is known for its high quality and high quality food and beverage services	7	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.3691797397351424	novel_or_generic	0.3	0.5	104398	common_voice_en_36772195.mp3	cb43ba527ce00844df4ab6adc90a9bad6002e59eac299f3a20d6436f86774b69	"Misal pav from ""Kolhapur"" is known for its high spice content and unique taste."
i guess you must think i m kinda batty	the city is located in the southern part of the city of korea	1.4444	-0.4444	0.0414	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	10	i guess you must think i m kinda batty	the city is located in the southern part of the city of korea	8	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
groves started writing songs when she was four years old	well it s a perfect way to start a new life when you are a parent	1.6	-0.6	0.0269	1.0	0	-1.1674	0.919	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	11	groves started writing songs when she was four years old	well it s a perfect way to start a new life when you are a parent	9	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.3208809179815715	novel_or_generic	0.13333333333333333	0.14285714285714285	105140	common_voice_en_19687004.mp3	1ee7596c1e91b3751a06e5e9bf4a4fd7f5f2d0abea1511050f095a554ce10868	You are swindlers.
