ref_sentence	hypo_sentence	probability_ref	probability_hypo	scaled_probability_hypo	cosine_similarity
yesterday you were trembling for a health that is dear to you to day you fear for your own to morrow it will be anxiety about money the day after to morrow the diatribe of a slanderer the day after that the misfortune of some friend then the prevailing weather then something that has been broken or lost then a pleasure with which your conscience and your vertebral column reproach you again the course of public affairs	the daughter to be devoured by wild beasts and the mother to be burnt alive no sooner however was she reduced to ashes than the charm which held the queen's brother in the form of a stag was broken	0.65	0.2	0.3076923076923077	0.27044821630509785
as she awaited her guests she surveyed the table with both satisfaction and disquietude for her social functions were few tonight there were she checked them off on her fingers sir james creighton the rich english manufacturer and lady creighton mister and missus vanderpool mister harry cresswell and his sister john taylor and his sister and mister charles smith whom the evening papers mentioned as likely to be united states senator from new jersey a selection of guests that had been determined unknown to the hostess by the meeting of cotton interests earlier in the day	and the blue eye of frances met the brilliant black one of her guest for a single moment and both fell in abashed confusion on the carpet they advanced however until they met and had taken each other's hand before either ventured again to look her companion in the face	0.65	0.75	1.0	0.4159425240021335
as the chaise drives away mary stands bewildered and perplexed on the door step her mind in a tumult of excitement in which hatred of the doctor distrust and suspicion of her mother disappointment vexation and ill humor surge and swell among those delicate organizations on which the structure and development of the soul so closely depend doing perhaps an irreparable injury	and the blue eye of frances met the brilliant black one of her guest for a single moment and both fell in abashed confusion on the carpet they advanced however until they met and had taken each other's hand before either ventured again to look her companion in the face	0.75	0.65	0.8666666666666667	0.3715050746956827
the lilly of the valley breathing in the humble grass answerd the lovely maid and said i am a watry weed and i am very small and love to dwell in lowly vales so weak the gilded butterfly scarce perches on my head yet i am visited from heaven and he that smiles on all walks in the valley and each morn over me spreads his hand saying rejoice thou humble grass thou new born lily flower	and this verity the epistle further confirmed with rows of full stops to the extent of nearly half a page next there followed a few reflections of a correctitude so remarkable that i have no choice but to quote them what	0.1	0.2	1.0	0.2563604610188324
but there is always a stronger sense of life when the sun is brilliant after rain and now he is pouring down his beams and making sparkles among the wet straw and lighting up every patch of vivid green moss on the red tiles of the cow shed and turning even the muddy water that is hurrying along the channel to the drain into a mirror for the yellow billed ducks who are seizing the opportunity of getting a drink with as much body in it as possible	well it was really hard that poor epimetheus should have a box in his ears from morning till night especially as the little people of the earth were so unaccustomed to vexations	0.75	0.3	0.39999999999999997	0.24956949015167282
to keep afloat and to rescue from oblivion to hold above the gulf were it but a fragment of some language which man has spoken and which would otherwise be lost that is to say one of the elements good or bad of which civilization is composed or by which it is complicated to extend the records of social observation is to serve civilization itself	dormice are bad neighbors for us who do not eat them preserved as the romans did what did the romans eat them said the gardener ate dormice	0.25	0.25	1.0	0.16526074660522103
this happened every year and the young fir tree that had now grown to a very comely size trembled at the sight for the magnificent great trees fell to the earth with noise and cracking the branches were lopped off and the trees looked long and bare they were hardly to be recognised and then they were laid in carts and the horses dragged them out of the wood	and this verity the epistle further confirmed with rows of full stops to the extent of nearly half a page next there followed a few reflections of a correctitude so remarkable that i have no choice but to quote them what	0.45	0.25	0.5555555555555556	0.26924016264344125
hetty sorrel often took the opportunity when her aunt's back was turned of looking at the pleasing reflection of herself in those polished surfaces for the oak table was usually turned up like a screen and was more for ornament than for use and she could see herself sometimes in the great round pewter dishes that were ranged on the shelves above the long deal dinner table or in the hobs of the grate which always shone like jasper	that would be an incorrect answer the definition given by that authority i have every reason to believe is the correct one the generally accepted one the authority referred to	0.9	0.65	0.7222222222222222	0.10924721883260195
but reckoning time whose million'd accidents creep in twixt vows and change decrees of kings tan sacred beauty blunt the sharp'st intents divert strong minds to the course of altering things alas why fearing of time's tyranny might i not then say now i love you best when i was certain o'er incertainty crowning the present doubting of the rest	well it was really hard that poor epimetheus should have a box in his ears from morning till night especially as the little people of the earth were so unaccustomed to vexations	0.45	0.65	1.0	0.25199134203544205
law seemed to him well enough as a science but he never could discover a practical case where it appeared to him worth while to go to law and all the clients who stopped with this new clerk in the ante room of the law office where he was writing philip invariably advised to settle no matter how but settle greatly to the disgust of his employer who knew that justice between man and man could only be attained by the recognized processes with the attendant fees	all humanity does agree that we are in a net of sin most of humanity agrees that there is some way out but as to what is the way out i do not think that there are two institutions in the universe which contradict each other so flatly as buddhism and christianity	0.65	0.65	1.0	0.20172605792440657
