eval_config	perturbation	best_train_corpus	n_hypotheses	mean_best_tfidf_similarity	median_best_tfidf_similarity	exact_or_template_copy	near_copy	strong_overlap	weak_overlap	novel_or_generic
base	full_noise_amp0.5_dur0.0	clean	209	0.45061080590892805	0.43514727389238006	0	0	4	82	123
base	full_noise_amp0.5_dur0.0	rr_64pct	34	0.4132384016012913	0.3969700296679588	0	0	2	7	25
base	full_noise_amp0.5_dur0.0	ru_64pct	494	0.5714460554394655	0.6426051663988733	0	0	36	370	88
rr_64pct	full_noise_amp0.5_dur0.0	clean	73	0.4031123409292234	0.3856931182487351	0	0	2	19	52
rr_64pct	full_noise_amp0.5_dur0.0	rr_64pct	63	0.432984001381598	0.4345740537577174	0	0	1	29	33
rr_64pct	full_noise_amp0.5_dur0.0	ru_64pct	104	0.38679495624636656	0.376472710589138	0	0	0	23	81
ru_64pct	full_noise_amp0.5_dur0.0	clean	220	0.606657649511046	0.6694600982163571	0	0	156	36	28
ru_64pct	full_noise_amp0.5_dur0.0	rr_64pct	38	0.41911264266063664	0.4177108410089756	0	0	1	15	22
ru_64pct	full_noise_amp0.5_dur0.0	ru_64pct	301	0.5299563382974026	0.5746153038049856	0	0	47	180	74
base	full_noise_amp0.75_dur0.0	clean	140	0.4695464373919147	0.4990196412847405	0	0	2	89	49
base	full_noise_amp0.75_dur0.0	rr_64pct	22	0.41303973750395273	0.39372228112475144	0	0	0	6	16
base	full_noise_amp0.75_dur0.0	ru_64pct	701	0.6167829011099037	0.6426051663988733	0	0	79	565	57
rr_64pct	full_noise_amp0.75_dur0.0	clean	39	0.41365385929751153	0.3892755831301167	0	0	3	7	29
rr_64pct	full_noise_amp0.75_dur0.0	rr_64pct	44	0.48173869248016066	0.5226815531511309	0	0	0	34	10
rr_64pct	full_noise_amp0.75_dur0.0	ru_64pct	98	0.393040165378482	0.38627210238404575	0	0	0	22	76
ru_64pct	full_noise_amp0.75_dur0.0	clean	264	0.6147757089451867	0.6694600982163571	0	0	202	28	34
ru_64pct	full_noise_amp0.75_dur0.0	rr_64pct	41	0.45662116973060907	0.4573269521047354	0	0	1	21	19
ru_64pct	full_noise_amp0.75_dur0.0	ru_64pct	397	0.5563797367922764	0.5746153038049856	0	0	22	336	39
rr_64pct	none	clean	57	0.45894248653515346	0.40756500655717287	0	1	7	15	34
rr_64pct	none	rr_64pct	20	0.42661062253312554	0.3958111066997613	0	0	1	5	14
rr_64pct	none	ru_64pct	68	0.39251510361733666	0.3661606098499516	0	0	2	13	53
base	onset_noise_amp0.05_dur0.5	clean	54	0.46285342244426647	0.40895549543594434	1	1	5	14	33
base	onset_noise_amp0.05_dur0.5	rr_64pct	20	0.41362384507919714	0.3679499928127378	0	0	1	5	14
base	onset_noise_amp0.05_dur0.5	ru_64pct	69	0.41700161539452585	0.39535626471162133	1	1	2	17	48
rr_64pct	onset_noise_amp0.05_dur0.5	clean	61	0.44631935584731186	0.3940568902759344	1	1	4	15	40
rr_64pct	onset_noise_amp0.05_dur0.5	rr_64pct	15	0.4316153595546044	0.3942035738079981	0	0	1	3	11
rr_64pct	onset_noise_amp0.05_dur0.5	ru_64pct	67	0.39579603520867973	0.3724523961013939	0	0	2	13	52
base	onset_noise_amp0.5_dur0.5	clean	60	0.4591437768303904	0.42262150545898913	1	1	5	17	36
base	onset_noise_amp0.5_dur0.5	rr_64pct	24	0.4475770344746243	0.4024134432155762	0	1	2	5	16
base	onset_noise_amp0.5_dur0.5	ru_64pct	66	0.4100039154623272	0.3880683234263991	1	0	2	18	45
rr_64pct	onset_noise_amp0.5_dur0.5	clean	52	0.45929785211529744	0.40329682107055437	1	1	4	15	31
rr_64pct	onset_noise_amp0.5_dur0.5	rr_64pct	20	0.46578425690649083	0.39895314941454507	0	1	2	4	13
rr_64pct	onset_noise_amp0.5_dur0.5	ru_64pct	45	0.413574624707028	0.4008457924845684	0	0	2	13	30
ru_64pct	onset_noise_amp0.5_dur0.5	clean	60	0.4800957023648197	0.4352741500560272	2	0	7	18	33
ru_64pct	onset_noise_amp0.5_dur0.5	rr_64pct	26	0.45613353075642277	0.4102837607564884	0	1	2	7	16
ru_64pct	onset_noise_amp0.5_dur0.5	ru_64pct	66	0.3979698887348147	0.36359967438286883	0	0	2	16	48
base	onset_noise_amp0.75_dur0.5	clean	61	0.4541782836218365	0.4273354850418042	1	1	4	17	38
base	onset_noise_amp0.75_dur0.5	rr_64pct	23	0.4554369054580246	0.40519186728870926	0	1	1	7	14
base	onset_noise_amp0.75_dur0.5	ru_64pct	70	0.4115712408567818	0.37136542281921003	1	1	2	19	47
rr_64pct	onset_noise_amp0.75_dur0.5	clean	69	0.44697235735797136	0.40157565125463	1	1	5	18	44
rr_64pct	onset_noise_amp0.75_dur0.5	rr_64pct	26	0.44092736372824937	0.39895314941454507	0	1	1	6	18
rr_64pct	onset_noise_amp0.75_dur0.5	ru_64pct	62	0.3973172491810042	0.3685997331432197	0	0	2	13	47
ru_64pct	onset_noise_amp0.75_dur0.5	clean	61	0.4712848849771199	0.4178591574476056	2	0	7	16	36
ru_64pct	onset_noise_amp0.75_dur0.5	rr_64pct	27	0.4404052499908748	0.4136790086189164	0	1	1	7	18
